GENE_ID,Chr,Start,End,Strand,Length,DFT1_CONT_1_S10,DFT1_CONT_2_S7,DFT1_CONT_3_S6,DFT1_Saha1_1_S1,DFT1_Saha1_2_S24,DFT1_Saha1_3_S12,DFT1_Saha2_1_S3,DFT1_Saha2_2_S22,DFT1_Saha2_3_S9,DFT1_Saha3_1_S23,DFT1_Saha3_2_S18,DFT1_Saha3_3_S14,DFT1_Saha4_1_S11,DFT1_Saha4_2_S2,DFT1_Saha4_3_S15,DFT1_Saha5_1_S8,DFT1_Saha5_2_S21,DFT1_Saha5_3_S5,DFT1_Saha6_1_S19,DFT1_Saha6_2_S16,DFT1_Saha6_3_S20,DFT1_Saha7_1_S13,DFT1_Saha7_2_S17,DFT1_Saha7_3_S4
CLIP3,NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1,718597;718999;719214;719744;720016,718617;719122;719351;719872;720073,-;-;-;-;-,470,253,331,322,250,264,292,308,223,258,252,231,288,319,318,316,336,337,413,258,240,256,310,302,268
WDR62,NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1,735346;738590;739524;739865;741021;741631;742000;742348;742695;743884;744269;744762;750811;751209;751556;752308;752552;754659;755180;755841;756316;756685;757513;757983;758246;759127;759883;760112;760490;761535;761867,735437;738652;739581;740035;741158;741813;742160;742537;742832;744062;744360;744887;750878;751330;751631;752419;752615;754781;755313;755893;756531;756821;757631;758120;758377;759256;760003;760178;761212;761620;762351,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4697,1454,1770,1836,1616,1619,1726,1717,1539,1420,1356,1108,1353,1091,1038,1057,936,1023,1150,1871,1365,1426,1756,1716,1518
TBCB,NW_003831768.1;NW_003831768.1;NW_003831768.1,786937;787279;787484,787080;787375;787573,+;+;+,331,697,768,803,749,742,752,770,620,605,603,666,625,881,837,822,885,881,990,785,641,625,805,714,705
LOC100930775,NW_003831768.1;NW_003831768.1;NW_003831768.1,802368;802656;803016,802558;802740;803105,-;-;-,366,13,9,13,10,9,6,13,8,6,15,22,11,36,27,24,31,21,31,31,19,20,16,14,16
LOC100922983,NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1,838467;839535;839908;840198,838623;839627;839992;840354,+;+;+;+,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100931040,NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1,848441;848441;857304;857304;857864;857864;861566;861566,850046;850046;857399;857399;858140;857990;861669;861641,-;-;-;-;-;-;-;-,2083,105,98,127,82,92,97,82,99,98,82,55,85,117,93,90,55,63,47,97,71,68,108,131,106
LOC111718499,NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1;NW_003831768.1,880597;880597;880597;880597;886065;886065;886518;886518;886518;891579;891579;891579;893695;894520;900429;900429;903731;903731;906518,883000;882819;883000;883000;886160;886160;886694;886689;886694;891974;891974;891636;896044;896044;900536;900536;904527;903857;906580,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,6391,623,816,799,645,733,733,712,531,598,656,627,729,843,848,793,268,337,324,693,560,547,730,773,671
LOC105749943,NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1,1561;4025;5008;5665;8261;8770;9409;9811;12996,2777;4166;5195;5806;8437;8930;9558;9973;13233,-;-;-;-;-;-;-;-;-,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100931571,NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1,30662;33319;34337;35032;37931;38437;39027;39429;43017,32066;33460;34524;35173;38107;38597;39176;39591;43157,-;-;-;-;-;-;-;-;-,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100931836,NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1,132195;134352;136428;136876;137226;138399;140198;140711;141436,132253;134509;136577;137036;137426;138534;140385;140852;141642,+;+;+;+;+;+;+;+;+,1402,2,2,1,1,2,2,9,1,1,6,3,2,9,2,8,0,0,1,7,4,0,0,1,4
AXL,NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1,147290;148354;148902;149716;150542;151457;157934;159086;160696;161191;162066;162510;163016;163337;164831;167705;168212;168462;169377,147374;148445;149241;149929;150642;151705;158049;159388;160903;161217;162198;162604;163111;163414;164869;167852;168371;168598;170574,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3819,1939,2578,2467,3050,2850,3485,3421,2667,2935,7187,6381,6973,7769,7801,7652,1065,1108,1372,3533,2856,2965,2410,2302,2190
HNRNPUL1,NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1,185080;186486;188714;190719;193771;194630;195529;195732;201552;202277,185239;186559;188853;190818;193883;194896;195651;195860;201720;202507,+;+;+;+;+;+;+;+;+;+,1506,2343,3208,3198,2821,2688,2885,3014,2562,2492,2416,2110,2498,2327,2114,2196,511,520,641,2073,1658,1646,3068,3062,2603
TGFB1,NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1;NW_003831769.1,219972;220400;220757;220986;221327,220311;220553;220901;221063;221444,-;-;-;-;-,835,20,37,44,36,17,35,24,25,34,67,55,51,56,53,65,133,143,154,122,112,126,35,44,39
LOC105749944,NW_003831769.1;NW_003831769.1;NW_003831769.1,227671;228076;228803,228000;228289;228913,-;-;-,655,593,721,726,670,588,705,672,567,566,633,670,692,727,706,669,767,819,896,754,643,685,657,669,589
EXOSC5,NW_003831769.1;NW_003831769.1;NW_003831769.1,248028;249072;251565,248714;249161;251705,-;-;-,918,1827,2138,2025,1811,1753,1864,1792,1539,1529,1456,1448,1514,1773,1777,1640,3450,3745,3923,3028,2794,2935,2033,1833,1699
LOC111719925,NW_003831770.1;NW_003831770.1;NW_003831770.1,29642;31331;40573,29699;32435;40698,-;-;-,1289,61,67,74,61,63,82,102,74,56,88,54,109,72,80,76,8,5,16,54,50,84,51,81,60
ZNF541,NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1,81168;82739;84575;87249;87699;88243;88999;89750;90941;91435;92587;92870;93792;94196;94476,81474;82982;86444;87291;87874;88416;89332;89813;91083;91538;92662;92958;93932;94377;94647,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4119,1491,1956,1984,1832,1766,1851,1847,1517,1467,1822,1531,1878,1533,1346,1380,254,298,386,1628,1280,1170,1993,2040,1699
NAPA,NW_003831770.1;NW_003831770.1;NW_003831770.1;NW_003831770.1,116015;116517;117177;117297,116119;116585;117227;117728,+;+;+;+,657,2707,3181,2943,2698,2476,2827,2574,2231,2066,2428,2362,2421,3282,3179,3211,4120,4289,4909,3640,3311,3456,2795,2626,2508
SAE1,NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1,42426;44906;47636;65447;75676;77434;79537;80672,43356;44975;47780;65552;75775;77576;79713;81194,-;-;-;-;-;-;-;-,2195,3519,4039,4060,3695,3423,3916,3819,3266,3031,3024,2796,2998,2859,2673,2565,791,950,974,2835,2327,2576,3996,3803,3535
ZC3H4,NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1,121530;123716;124958;134884;135207;135795;137613;138503;140155;142361;146531;150176;150520,122373;123826;125177;135020;135571;136174;137864;138610;140266;142528;146712;150232;150548,+;+;+;+;+;+;+;+;+;+;+;+;+,2965,1162,1572,1635,1384,1375,1439,1673,1420,1390,1722,1390,1719,1719,1727,1712,231,214,260,1263,974,1049,1529,1651,1334
NPAS1,NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1,198569;200342;201980;203886;204802;206073;206843;207215;217595,199089;200520;202090;204067;205009;206155;206932;207297;217697,-;-;-;-;-;-;-;-;-,1560,40,62,67,56,39,68,59,56,43,49,42,60,56,51,40,9,19,22,37,36,34,61,44,61
ARHGAP35,NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1,248149;252457;255554;259621;294978;320731;369168,248398;252562;255685;259698;295122;324606;373531,-;-;-;-;-;-;-,8951,1034,1575,1644,1432,1459,1411,1685,1401,1416,2039,1747,2178,1749,1729,1739,107,81,136,1401,1128,1236,1570,1819,1404
SLC1A5,NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1,432265;434781;434915;435049;438074,432462;434823;434962;435096;438587,+;+;+;+;+,851,997,1134,1053,1155,1057,1150,1103,962,942,1249,1152,1215,939,869,845,1711,1663,1904,1504,1487,1474,1029,942,918
FKRP,NW_003831771.1,438831,439443,-,613,397,474,448,441,354,359,390,363,333,379,327,384,469,458,422,2278,2514,2799,1260,1288,1341,470,406,324
LOC100913590,NW_003831771.1;NW_003831771.1;NW_003831771.1,441704;442000;442388,441891;442050;442559,-;-;-,411,27,28,50,36,37,54,19,24,25,36,27,34,49,40,27,20,51,29,31,13,25,36,28,31
STRN4,NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1;NW_003831771.1,446579;448774;448963;449393;452072;452397;453169,446682;448847;449041;449572;452125;452512;453344,+;+;+;+;+;+;+,783,1562,1938,1853,1617,1659,1738,1801,1455,1396,1487,1361,1567,1695,1526,1624,338,299,344,1406,942,997,1773,1862,1660
LOC100914375,NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1,230701;231210;233598;233598;233651;233651;234164;234303;234303;234303,230710;231219;233756;234024;234024;234024;235213;235213;235213;235213,+;+;+;+;+;+;+;+;+;+,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100915155,NW_003831772.1,236299,237756,+,1458,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0
LOC100915415,NW_003831772.1,245542,246712,+,1171,1,2,2,1,0,1,1,1,0,0,0,1,1,2,0,0,0,0,3,0,0,0,3,2
PRDM16,NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1;NW_003831772.1,533363;533838;637681;641101;845539;870246;883129;887364;890018;890582;896843;906940;911750;913473;923764;925855;932432;935122;937603,533387;534187;637731;641103;845673;870348;883327;887511;890187;890615;897678;907024;911919;913550;923933;926029;932662;935245;938291,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3776,530,940,1073,815,909,977,883,675,731,671,625,781,560,489,527,50,45,46,471,334,392,993,1240,874
MIR200B,NW_003831773.1;NW_003831773.1,160073;160173,160222;160191,+;+,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,NW_003831773.1;NW_003831773.1,162393;162493,162542;162511,+;+,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100916459,NW_003831773.1;NW_003831773.1;NW_003831773.1,202591;204255;205147,203066;204397;205313,-;-;-,786,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
TTLL10,NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1,216095;226073;226690;228492;230535;232951;235117;242184;244254,216204;226238;226808;228621;230706;233091;235233;242277;244969,+;+;+;+;+;+;+;+;+,1765,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,1,1,0
TNFRSF18,NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1,259982;284975;285957;290607;297650,260007;285060;286044;290738;297713,-;-;-;-;-,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF4,NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1,316788;317161;317653;318469;318702;320982;323212,316958;317286;317741;318577;318746;321044;323364,-;-;-;-;-;-;-,756,6,5,5,6,11,8,1,9,4,6,4,6,10,18,4,0,0,4,2,3,3,5,9,6
SDF4,NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1,333888;337949;340617;345772;353081;363528,334954;338124;340775;345885;353217;363887,-;-;-;-;-;-,2013,1917,2289,2291,2067,1901,2158,2084,1838,1723,1804,1698,1882,2203,2101,2098,1624,1747,2036,2435,2224,2178,2294,2033,1847
C1QTNF12,NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1,480591;482236;483781;484064;484302;487784;488055,480799;482341;483950;484175;484418;487856;488083,-;-;-;-;-;-;-,816,3,7,4,11,5,3,6,3,5,3,7,3,15,7,5,0,1,9,8,8,11,4,4,1
UBE2J2,NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1;NW_003831773.1,504786;508599;509962;510214;511935;513596,507939;508679;510100;510316;511975;513726,-;-;-;-;-;-,3649,3381,4095,4139,3718,3510,3849,3763,3237,3273,3886,3603,3985,4296,3953,4037,1766,1892,2107,3714,3091,3248,4026,3895,3460
TP73,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,62293;174064;182617;186854;188996;192435;195928;197842;200178;201774;204514,62416;174250;182732;186963;189138;192523;196052;197990;200316;201867;204871,+;+;+;+;+;+;+;+;+;+;+,1634,64,78,88,83,75,77,80,68,66,38,39,51,27,31,21,3,2,7,29,42,29,98,88,72
CCDC27,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,244349;245811;248431;250094;250435;252866;254857;256724;257027;257860;260974;263233,244373;245933;248570;250267;250491;253090;255100;256854;257104;258072;261078;263364,+;+;+;+;+;+;+;+;+;+;+;+,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM1,NW_003831774.1;NW_003831774.1;NW_003831774.1,276823;294724;295993,276960;294844;297673,+;+;+,1940,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
LRRC47,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,307716;310607;311028;312802;314553;315658;322625,310370;310696;311130;312917;314669;316113;322850,-;-;-;-;-;-;-,3763,3532,4646,4415,4077,3653,4198,4107,3593,3520,3714,3328,3734,3794,3606,3534,1226,1247,1427,3445,2701,2897,4193,4152,3629
LOC111718508,NW_003831774.1;NW_003831774.1,343439;343762,343494;345003,+;+,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100919502,NW_003831774.1;NW_003831774.1,353913;355230,354152;356239,+;+,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP104,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,365707;369567;370769;370769;372619;372619;373067;373067;375188;375188;377960;377960;378274;378274;381168;381168;381586;381586;382511;382511;384896;384896;386108;386108;387148;387148;390059;390059;392817;392817;393613;393613;398360;398360;398761;398761;401368;401368;402083;402083;404339;404339;413749;419078,369688;369688;370859;370859;372686;372686;373205;373205;375296;375296;378041;378041;378310;378310;381284;381284;381792;381792;382687;382687;385069;385069;386275;386275;387345;387345;390289;390289;392972;392972;393781;393781;398436;398436;398823;398823;401506;401506;402256;402256;404465;404465;413930;419094,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,6884,3714,5214,5331,4764,4673,4957,4974,4192,4348,5022,4491,5192,5321,5169,4988,1273,1109,1546,4304,3551,3474,5229,5467,4384
DFFB,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,422083;426067;430080;436253;441642,422346;426146;430250;436353;442461,+;+;+;+;+,1436,41,61,60,77,80,83,81,61,54,71,54,63,45,64,56,8,2,7,67,44,40,89,97,51
C3H1orf174,NW_003831774.1;NW_003831774.1;NW_003831774.1,449926;452085;453638,451427;452594;453751,-;-;-,2126,2492,3138,3080,2723,2313,2720,2751,2422,2290,2714,2338,2800,3651,3353,3260,439,387,452,2080,1787,1874,3045,2798,2498
AJAP1,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,1634035;1685738;1725332;1852435;1856121;1858700,1634266;1685825;1726110;1852522;1856363;1858772,+;+;+;+;+;+,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100920546,NW_003831774.1;NW_003831774.1;NW_003831774.1,2035827;2071455;2112022,2035924;2072532;2112046,-;-;-,1201,23,26,18,11,22,14,18,27,24,21,15,14,30,26,17,12,10,16,18,19,11,17,29,29
NPHP4,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,3497544;3497544;3497544;3499904;3499904;3499904;3507824;3507824;3507824;3509148;3509148;3509148;3510738;3510738;3510738;3511521;3511521;3511521;3512827;3512827;3512827;3517683;3517683;3517683;3518819;3518819;3518819;3519247;3519247;3519247;3521069;3521069;3521069;3532578;3532578;3532578;3541322;3541322;3541322;3542606;3542606;3542606;3543764;3543764;3543764;3544914;3544914;3544914;3545283;3545283;3545283;3546935;3546935;3546935;3549264;3549264;3549264;3570555;3570555;3570555;3572061;3572120;3574004,3498190;3498190;3498190;3500047;3500047;3500047;3508003;3508003;3508003;3509319;3509319;3509319;3510823;3510823;3510823;3511609;3511609;3511609;3512983;3512983;3512983;3517769;3517769;3517769;3519005;3519005;3519005;3519473;3519473;3519473;3521280;3521280;3521280;3532706;3532706;3532706;3541502;3541502;3541502;3542766;3542766;3542766;3543951;3543951;3543951;3545105;3545105;3545105;3545434;3545434;3545434;3547063;3547063;3547063;3549319;3549319;3549319;3570693;3570693;3570693;3572105;3572235;3574185,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3858,707,900,908,768,738,791,796,663,644,689,715,886,988,923,924,213,199,237,704,587,530,873,894,776
LOC111719930,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,3599646;3608227;3617846;3619542;3620186;3620473,3599825;3608363;3618001;3619606;3620358;3620523,-;-;-;-;-;-,762,129,192,177,157,165,165,182,153,142,162,150,169,176,174,175,27,41,33,140,131,137,190,167,147
LOC111719932,NW_003831774.1;NW_003831774.1;NW_003831774.1,3640128;3652543;3652963,3640316;3652626;3652986,-;-;-,297,28,40,45,28,19,32,35,27,19,21,30,39,43,30,38,5,4,10,27,15,26,37,28,46
KCNAB2,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,3776435;3814742;3815755;3820975;3830079;3833602;3833986;3834845;3844467,3776652;3814785;3815792;3821054;3830123;3833646;3834029;3834864;3844587,+;+;+;+;+;+;+;+;+,655,137,172,156,143,113,157,133,111,115,98,108,90,126,131,87,71,68,77,107,87,81,119,152,138
CHD5,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,3859975;3860843;3862906;3863242;3863631;3870706;3874011;3874579;3875055;3875381;3878102;3878409;3879499;3884432;3885411;3886223;3888308;3889775;3891876;3893470;3896541;3899735;3901740;3902974;3905081;3906677;3908575;3908862;3911535;3912051;3913961;3915184;3916924;3917531;3920332;3920912;3922053;3925949;3928563;3928973;3930687;3933653;3961194;3961512,3860039;3860986;3863020;3863289;3863674;3870901;3874195;3874654;3875131;3875518;3878191;3878541;3879578;3884582;3885555;3886298;3888400;3889949;3892048;3893598;3896772;3899859;3901857;3903105;3905222;3906850;3908696;3908999;3911735;3912242;3914069;3915315;3917135;3917737;3920550;3921078;3922176;3926073;3928667;3929106;3930805;3933832;3961384;3961536,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,5958,6,4,6,7,5,2,6,9,3,5,6,7,8,8,5,2,1,4,8,17,6,4,14,3
RPL22,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,4007872;4010940;4015616;4017849,4008075;4011064;4015720;4017951,-;-;-;-,537,6776,7926,7698,7328,6960,7378,7502,6513,6590,7387,6756,7289,8626,7716,7608,12967,12484,14199,12918,12365,12376,7656,7133,6643
RNF207,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,4017859;4029554;4032283;4032531;4033695;4033857;4034370;4035256;4035917;4037526;4038307;4039267;4039944;4040779;4041354;4042451,4017996;4029596;4032429;4032612;4033770;4033982;4034416;4035328;4035985;4037614;4038592;4039452;4039995;4040896;4041437;4042600,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1766,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,1,0,0,0,2,0,1,0,0
ICMT,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,4044958;4049799;4051235;4052337,4048140;4050016;4051404;4052425,-;-;-;-,3660,1787,2377,2369,2151,2053,2308,2566,2066,2035,2310,2199,2411,2307,2133,2086,157,165,240,2040,1604,1476,2380,2139,2085
HES3,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,4075848;4076006;4076232;4078301,4075901;4076101;4076313;4078539,+;+;+;+,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1;NW_003831774.1,4112373;4113068;4115354;4116608;4123126;4123876;4127567;4131597,4112467;4113221;4115538;4116797;4123486;4123944;4128093;4131640,-;-;-;-;-;-;-;-,1625,94,105,103,68,82,87,73,56,73,90,95,98,251,211,241,6,10,26,102,81,54,79,104,82
